month,category,net_inflow_cr
2024-05,Hybrid Aggressive,2528.0
2024-06,Hybrid Aggressive,2327.0
2024-07,Hybrid Aggressive,2487.0
2024-08,Hybrid Aggressive,2284.0
2024-09,Hybrid Aggressive,1966.0
2024-10,Hybrid Aggressive,2358.0
2024-11,Hybrid Aggressive,2181.0
2024-12,Hybrid Aggressive,2424.0
2025-01,Hybrid Aggressive,2639.0
2025-02,Hybrid Aggressive,2769.0
2025-03,Hybrid Aggressive,3107.0
2025-04,Hybrid Aggressive,2746.0
2025-05,Hybrid Aggressive,2660.0
2025-06,Hybrid Aggressive,2481.0
2025-07,Hybrid Aggressive,2440.0
2025-08,Hybrid Aggressive,2698.0
2025-09,Hybrid Aggressive,2598.0
2025-10,Hybrid Aggressive,2285.0
2025-11,Hybrid Aggressive,2410.0
2025-12,Hybrid Aggressive,2562.0
2022-01,Debt - Short Duration,-524.0
2022-02,Debt - Short Duration,-106.0
2022-03,Debt - Short Duration,-535.0
2022-04,Debt - Short Duration,-164.0
2022-05,Debt - Short Duration,208.0
2022-06,Debt - Short Duration,-529.0
2022-07,Debt - Short Duration,-35.0
2022-08,Debt - Short Duration,-900.0
2022-09,Debt - Short Duration,-494.0
2022-10,Debt - Short Duration,-816.0
2022-11,Debt - Short Duration,-525.0
2022-12,Debt - Short Duration,-513.0
2023-01,Debt - Short Duration,-156.0
2023-02,Debt - Short Duration,-198.0
2023-03,Debt - Short Duration,-157.0
2023-04,Debt - Short Duration,-314.0
2023-05,Debt - Short Duration,-100.0
2023-06,Debt - Short Duration,-491.0
2023-07,Debt - Short Duration,-559.0
2023-08,Debt - Short Duration,-663.0
2023-09,Debt - Short Duration,-445.0
2023-10,Debt - Short Duration,-56.0
2023-11,Debt - Short Duration,-617.0
2023-12,Debt - Short Duration,-56.0
2024-01,Debt - Short Duration,-697.0
2024-02,Debt - Short Duration,-500.0
2024-03,Debt - Short Duration,-156.0
2024-04,Debt - Short Duration,-115.0
2024-05,Debt - Short Duration,-112.0
2024-06,Debt - Short Duration,11.0
2024-07,Debt - Short Duration,-543.0
2024-08,Debt - Short Duration,-330.0
2024-09,Debt - Short Duration,-620.0
2024-10,Debt - Short Duration,-1424.0
2024-11,Debt - Short Duration,-948.0
2024-12,Debt - Short Duration,-767.0
2025-01,Debt - Short Duration,-517.0
2025-02,Debt - Short Duration,-322.0
2025-03,Debt - Short Duration,-460.0
2025-04,Debt - Short Duration,-47.0
2025-05,Debt - Short Duration,-654.0
2025-06,Debt - Short Duration,-501.0
2025-07,Debt - Short Duration,-376.0
2025-08,Debt - Short Duration,-996.0
2025-09,Debt - Short Duration,-486.0
2025-10,Debt - Short Duration,-600.0
2025-11,Debt - Short Duration,-863.0
2025-12,Debt - Short Duration,-759.0
