investor_id,age_group,gender,monthly_sip_amount
248,56-65,Male,6370.0
249,26-35,Male,3235.0
250,46-55,Male,4331.0
251,26-35,Male,4570.0
252,26-35,Male,3142.0
253,26-35,Male,9789.0
254,26-35,Male,3013.0
255,26-35,Male,2868.0
256,36-45,Female,5211.0
257,36-45,Male,21670.0
258,36-45,Male,2704.0
259,26-35,Male,3231.0
260,36-45,Female,13755.0
261,18-25,Male,1478.0
262,56-65,Male,4468.0
263,26-35,Male,1235.0
264,36-45,Male,9725.0
265,36-45,Male,12309.0
266,36-45,Male,13612.0
267,36-45,Female,9814.0
268,36-45,Male,3717.0
269,26-35,Male,2387.0
270,26-35,Male,2318.0
271,18-25,Female,1133.0
272,46-55,Male,12550.0
273,36-45,Male,4377.0
274,36-45,Male,5539.0
275,26-35,Male,3706.0
276,46-55,Male,7577.0
277,26-35,Male,3594.0
278,46-55,Male,12007.0
279,18-25,Male,6114.0
280,56-65,Male,10299.0
281,46-55,Male,10871.0
282,65+,Female,7786.0
283,36-45,Female,5979.0
284,36-45,Female,4040.0
285,46-55,Female,9609.0
286,26-35,Female,8056.0
287,26-35,Male,3014.0
288,26-35,Male,5696.0
289,18-25,Male,4832.0
290,36-45,Male,12994.0
291,36-45,Male,10965.0
292,56-65,Male,3599.0
293,56-65,Male,5741.0
294,26-35,Male,3082.0
295,36-45,Male,3533.0
296,56-65,Female,14063.0
297,56-65,Male,7502.0
298,26-35,Male,2859.0
299,36-45,Male,5018.0
300,18-25,Male,2065.0
301,26-35,Female,4028.0
302,65+,Male,5179.0
303,26-35,Male,3190.0
304,36-45,Female,4699.0
305,36-45,Male,8351.0
306,56-65,Male,10931.0
307,26-35,Male,1121.0
308,26-35,Male,2725.0
309,46-55,Male,6926.0
310,36-45,Male,8611.0
311,36-45,Male,2606.0
312,18-25,Female,1526.0
313,46-55,Female,11906.0
314,26-35,Male,4119.0
315,26-35,Female,4207.0
316,36-45,Male,4753.0
317,26-35,Female,6596.0
318,26-35,Male,4112.0
319,36-45,Female,5216.0
320,18-25,Female,2117.0
321,46-55,Male,3873.0
322,26-35,Female,5685.0
323,26-35,Male,6331.0
324,26-35,Male,8836.0
325,36-45,Female,4480.0
326,56-65,Male,8464.0
327,46-55,Female,4756.0
328,46-55,Male,12060.0
329,18-25,Female,2218.0
330,46-55,Male,8864.0
331,65+,Male,1503.0
332,56-65,Male,28507.0
333,26-35,Male,5945.0
334,36-45,Male,2109.0
335,36-45,Male,17033.0
336,26-35,Male,3297.0
337,36-45,Female,9289.0
338,18-25,Female,1412.0
339,26-35,Male,3044.0
340,26-35,Male,3391.0
341,36-45,Male,36876.0
342,36-45,Male,8138.0
343,46-55,Male,3586.0
344,18-25,Male,1020.0
345,65+,Male,2871.0
346,46-55,Male,11999.0
347,26-35,Female,3798.0
348,26-35,Female,3385.0
349,26-35,Male,5748.0
350,26-35,Female,4367.0
351,36-45,Male,2925.0
352,36-45,Male,3947.0
353,36-45,Male,5975.0
354,18-25,Male,3637.0
355,36-45,Male,4109.0
356,26-35,Male,6940.0
357,65+,Male,3043.0
358,36-45,Male,7446.0
359,46-55,Male,4127.0
360,46-55,Male,7723.0
361,26-35,Male,4408.0
362,36-45,Male,6778.0
363,18-25,Male,1398.0
364,26-35,Male,4103.0
365,65+,Male,2942.0
366,26-35,Male,9218.0
367,36-45,Male,10495.0
368,56-65,Female,7842.0
369,56-65,Male,3990.0
370,46-55,Male,5507.0
371,36-45,Female,5686.0
372,46-55,Male,13030.0
373,26-35,Male,6767.0
374,26-35,Male,2838.0
375,56-65,Male,8177.0
376,46-55,Male,10703.0
377,26-35,Female,3696.0
378,36-45,Male,10602.0
379,65+,Male,6440.0
380,36-45,Female,4285.0
381,56-65,Female,5307.0
382,56-65,Male,4428.0
383,26-35,Male,2925.0
384,46-55,Female,5267.0
385,26-35,Female,4285.0
386,36-45,Male,4952.0
387,36-45,Male,8088.0
388,36-45,Male,19452.0
389,36-45,Male,6037.0
390,46-55,Female,4884.0
391,36-45,Male,6342.0
392,26-35,Male,2218.0
393,46-55,Male,7781.0
394,26-35,Female,4197.0
395,26-35,Female,2575.0
396,36-45,Male,3941.0
397,65+,Male,10620.0
398,56-65,Female,5677.0
399,36-45,Male,5160.0
400,46-55,Female,11090.0
401,26-35,Female,2323.0
402,36-45,Male,5485.0
403,65+,Male,8478.0
404,26-35,Male,10388.0
405,26-35,Female,5831.0
406,36-45,Male,7300.0
407,56-65,Male,6384.0
408,56-65,Female,5802.0
409,36-45,Male,4178.0
410,46-55,Male,12100.0
411,46-55,Male,4760.0
412,26-35,Male,6981.0
413,36-45,Male,1594.0
414,46-55,Male,6259.0
415,36-45,Male,6681.0
416,26-35,Male,2803.0
417,46-55,Male,8913.0
418,26-35,Male,3124.0
419,26-35,Female,3087.0
420,26-35,Male,4741.0
421,36-45,Female,3814.0
422,26-35,Male,1541.0
423,26-35,Male,5842.0
424,18-25,Male,2632.0
425,36-45,Male,7423.0
426,65+,Female,2994.0
427,46-55,Male,4809.0
428,26-35,Male,6401.0
429,26-35,Female,2504.0
430,65+,Male,12538.0
431,46-55,Male,5356.0
432,36-45,Female,5207.0
433,26-35,Male,2915.0
434,36-45,Male,6589.0
435,56-65,Male,26395.0
436,36-45,Female,6904.0
437,26-35,Male,1104.0
438,65+,Female,5221.0
439,46-55,Male,3782.0
440,36-45,Female,4823.0
441,56-65,Male,8161.0
442,36-45,Male,4610.0
443,36-45,Female,12130.0
444,26-35,Male,1459.0
445,65+,Male,10186.0
446,56-65,Male,10531.0
447,18-25,Female,2246.0
448,26-35,Male,6428.0
449,18-25,Male,2366.0
450,18-25,Female,715.0
451,46-55,Male,6812.0
452,26-35,Male,4737.0
453,18-25,Male,2090.0
454,56-65,Female,11029.0
455,26-35,Male,3208.0
456,56-65,Female,3979.0
457,36-45,Male,3123.0
458,18-25,Male,2304.0
459,36-45,Male,6645.0
460,26-35,Male,3546.0
461,26-35,Male,4302.0
462,18-25,Male,1306.0
463,46-55,Female,11739.0
464,26-35,Male,7587.0
465,36-45,Male,8812.0
466,26-35,Female,1840.0
467,26-35,Female,5966.0
468,56-65,Male,9001.0
469,26-35,Male,4993.0
470,36-45,Male,7787.0
471,36-45,Male,8313.0
472,56-65,Male,7293.0
473,36-45,Male,11261.0
474,36-45,Male,4528.0
475,26-35,Female,3609.0
476,46-55,Female,8889.0
477,26-35,Male,16386.0
478,18-25,Male,3731.0
479,18-25,Male,1935.0
480,46-55,Male,4748.0
481,46-55,Male,12701.0
482,46-55,Male,6092.0
483,46-55,Female,8991.0
484,18-25,Male,2003.0
485,26-35,Female,3010.0
486,36-45,Male,17967.0
487,26-35,Male,7669.0
488,36-45,Male,4232.0
489,36-45,Male,16097.0
490,36-45,Female,4894.0
491,36-45,Male,7467.0
492,26-35,Male,1583.0
493,26-35,Male,5710.0
494,56-65,Female,12129.0
495,26-35,Male,3293.0
496,46-55,Male,5977.0
497,36-45,Male,2936.0
498,36-45,Male,6137.0
499,18-25,Male,895.0
500,65+,Male,5102.0
501,26-35,Male,1701.0
502,18-25,Male,2363.0
503,18-25,Male,2213.0
504,46-55,Male,8014.0
505,26-35,Male,10915.0
506,46-55,Male,3710.0
507,26-35,Female,3601.0
508,36-45,Male,5517.0
509,26-35,Male,1632.0
510,46-55,Male,9271.0
511,56-65,Female,5209.0
512,26-35,Female,5872.0
513,26-35,Male,2347.0
514,26-35,Male,3479.0
515,26-35,Male,2991.0
516,36-45,Male,3279.0
517,36-45,Male,6081.0
518,26-35,Male,4152.0
519,18-25,Male,5791.0
520,46-55,Female,7573.0
521,36-45,Female,13230.0
522,18-25,Female,3951.0
523,18-25,Male,2885.0
524,26-35,Male,3023.0
525,26-35,Male,6604.0
526,36-45,Male,7759.0
527,26-35,Male,2472.0
528,18-25,Male,2231.0
529,26-35,Male,3351.0
530,46-55,Male,10374.0
531,26-35,Female,1359.0
532,46-55,Male,10280.0
533,26-35,Male,6136.0
534,36-45,Male,5468.0
535,36-45,Female,9777.0
536,26-35,Male,3902.0
537,56-65,Male,9595.0
538,26-35,Female,3604.0
539,56-65,Male,3251.0
540,26-35,Male,4017.0
541,26-35,Male,3439.0
542,26-35,Male,3813.0
543,36-45,Male,12172.0
544,46-55,Male,5524.0
545,46-55,Female,5839.0
546,36-45,Female,10417.0
547,26-35,Male,1500.0
548,26-35,Female,10004.0
549,36-45,Male,10754.0
550,36-45,Male,7727.0
551,36-45,Male,5223.0
552,26-35,Male,2134.0
553,56-65,Male,4517.0
554,26-35,Female,2758.0
555,36-45,Male,3296.0
556,36-45,Male,14307.0
557,36-45,Female,3327.0
558,36-45,Male,13774.0
559,36-45,Female,4952.0
560,46-55,Male,14468.0
561,26-35,Male,6113.0
562,56-65,Male,9889.0
563,18-25,Male,4296.0
564,36-45,Male,3930.0
565,26-35,Male,11578.0
566,36-45,Female,15361.0
567,46-55,Female,3944.0
568,26-35,Female,2586.0
569,46-55,Male,8363.0
570,26-35,Female,871.0
571,26-35,Male,4957.0
572,26-35,Male,5004.0
573,18-25,Female,2150.0
574,26-35,Male,4873.0
575,46-55,Male,5816.0
576,26-35,Male,3425.0
577,56-65,Male,11187.0
578,36-45,Female,13642.0
579,26-35,Male,6189.0
580,65+,Male,2939.0
581,26-35,Female,3374.0
582,26-35,Male,3977.0
583,36-45,Male,8472.0
584,26-35,Male,2791.0
585,46-55,Male,5006.0
586,26-35,Female,1866.0
587,36-45,Male,12073.0
588,36-45,Male,7092.0
589,36-45,Female,14299.0
590,36-45,Male,10215.0
591,46-55,Male,3782.0
592,65+,Male,9264.0
593,26-35,Male,4840.0
594,26-35,Female,4085.0
595,36-45,Male,11379.0
596,26-35,Male,5378.0
597,36-45,Female,5179.0
598,46-55,Female,10067.0
599,26-35,Male,10314.0
600,26-35,Male,3131.0
601,46-55,Female,4513.0
602,46-55,Male,5003.0
603,36-45,Male,8810.0
604,36-45,Male,11311.0
605,26-35,Male,1771.0
606,36-45,Female,8203.0
607,46-55,Female,15039.0
608,36-45,Female,10934.0
609,36-45,Male,9265.0
610,36-45,Female,3933.0
611,46-55,Male,9150.0
612,65+,Male,6998.0
613,65+,Male,4780.0
614,26-35,Female,6255.0
615,36-45,Male,5105.0
616,36-45,Male,3375.0
617,36-45,Male,3698.0
618,46-55,Male,8091.0
619,18-25,Male,3255.0
620,26-35,Female,4613.0
621,36-45,Female,11665.0
622,46-55,Male,13281.0
623,26-35,Male,6013.0
624,26-35,Male,1514.0
625,36-45,Female,8817.0
626,36-45,Male,4043.0
627,56-65,Female,10665.0
628,56-65,Male,5108.0
629,56-65,Female,5183.0
630,46-55,Female,7116.0
631,36-45,Male,6446.0
632,36-45,Male,5635.0
633,46-55,Male,9566.0
634,46-55,Female,8351.0
635,26-35,Male,3026.0
636,36-45,Male,2236.0
637,56-65,Male,6348.0
638,26-35,Male,4908.0
639,46-55,Male,13810.0
640,36-45,Male,18437.0
641,18-25,Female,1078.0
642,18-25,Female,2627.0
643,26-35,Male,3583.0
644,36-45,Female,5898.0
645,26-35,Female,3587.0
646,26-35,Male,3655.0
647,26-35,Female,4692.0
648,26-35,Male,10038.0
649,46-55,Female,10429.0
650,26-35,Female,4186.0
651,26-35,Male,2653.0
652,56-65,Female,11696.0
653,26-35,Male,2263.0
654,26-35,Male,7710.0
655,26-35,Male,4107.0
656,36-45,Male,4683.0
657,36-45,Male,2170.0
658,46-55,Female,3583.0
659,36-45,Female,8109.0
660,26-35,Male,4275.0
661,56-65,Female,12662.0
662,26-35,Female,2703.0
663,36-45,Male,8571.0
664,36-45,Female,6708.0
665,26-35,Male,5082.0
666,26-35,Male,6287.0
667,36-45,Female,13132.0
668,26-35,Male,11023.0
669,56-65,Male,6079.0
670,26-35,Female,2053.0
671,36-45,Male,8187.0
672,36-45,Female,4013.0
673,46-55,Female,7785.0
674,36-45,Female,4175.0
675,56-65,Male,4841.0
676,26-35,Male,2604.0
677,26-35,Male,3767.0
678,26-35,Female,2067.0
679,36-45,Male,2294.0
680,18-25,Male,3471.0
681,56-65,Male,10525.0
682,46-55,Female,5090.0
683,36-45,Female,4975.0
684,36-45,Male,7363.0
685,26-35,Male,5026.0
686,46-55,Female,17423.0
687,36-45,Female,4239.0
688,18-25,Male,2570.0
689,56-65,Male,5867.0
690,26-35,Male,5035.0
691,46-55,Female,9312.0
692,46-55,Male,13838.0
693,36-45,Male,3583.0
694,26-35,Male,1847.0
695,36-45,Male,5056.0
696,26-35,Male,2911.0
697,36-45,Male,9030.0
698,18-25,Male,1336.0
699,65+,Female,6688.0
700,36-45,Male,8613.0
701,26-35,Male,5748.0
702,26-35,Male,8292.0
703,36-45,Male,4714.0
704,18-25,Female,1119.0
705,46-55,Male,3433.0
706,36-45,Male,5109.0
707,56-65,Female,21988.0
708,26-35,Female,4171.0
709,26-35,Male,5009.0
710,26-35,Male,8255.0
711,18-25,Male,2504.0
712,36-45,Female,7026.0
713,65+,Female,13273.0
714,26-35,Male,2363.0
715,46-55,Male,11221.0
716,26-35,Male,1627.0
717,36-45,Female,4385.0
718,36-45,Female,4529.0
719,18-25,Female,1079.0
720,56-65,Female,18056.0
721,18-25,Male,3392.0
722,18-25,Male,5237.0
723,65+,Female,10733.0
724,46-55,Male,15569.0
725,46-55,Male,6384.0
726,36-45,Male,8574.0
727,36-45,Male,2656.0
728,26-35,Male,9481.0
729,36-45,Male,4340.0
730,46-55,Male,20946.0
731,36-45,Male,11219.0
732,18-25,Female,1723.0
733,26-35,Male,8049.0
734,18-25,Male,6968.0
735,36-45,Female,9699.0
736,36-45,Male,17503.0
737,46-55,Male,6602.0
738,36-45,Male,3630.0
739,36-45,Male,6761.0
740,26-35,Male,1808.0
741,46-55,Male,15943.0
742,46-55,Male,11557.0
743,36-45,Male,4637.0
744,36-45,Female,12461.0
745,46-55,Male,24418.0
746,46-55,Female,14436.0
747,18-25,Male,2143.0
748,56-65,Male,4368.0
749,26-35,Female,4531.0
750,36-45,Male,10421.0
751,65+,Male,1706.0
752,46-55,Male,3399.0
753,26-35,Female,2832.0
754,65+,Male,7251.0
755,26-35,Male,2531.0
756,26-35,Female,3653.0
757,26-35,Male,4691.0
758,36-45,Male,4669.0
759,56-65,Male,8742.0
760,56-65,Male,7268.0
761,56-65,Male,24732.0
762,56-65,Male,10433.0
763,36-45,Female,9668.0
764,18-25,Female,991.0
765,18-25,Male,2123.0
766,26-35,Male,5217.0
767,36-45,Male,5687.0
768,26-35,Male,2022.0
769,36-45,Female,4229.0
770,36-45,Female,6302.0
771,36-45,Male,13403.0
772,46-55,Female,13129.0
773,36-45,Female,8633.0
774,26-35,Male,5149.0
775,56-65,Male,10899.0
776,36-45,Male,4753.0
777,46-55,Female,11132.0
778,26-35,Male,2828.0
779,46-55,Male,6277.0
780,46-55,Male,5438.0
781,36-45,Female,6272.0
782,18-25,Male,2791.0
783,26-35,Male,5945.0
784,26-35,Male,2464.0
785,36-45,Male,3198.0
786,36-45,Male,6215.0
787,26-35,Female,3436.0
788,26-35,Male,4611.0
789,26-35,Male,7621.0
790,36-45,Male,4389.0
791,26-35,Male,7006.0
792,36-45,Male,4743.0
793,65+,Male,5061.0
794,36-45,Female,9818.0
795,26-35,Male,1497.0
796,26-35,Male,2691.0
797,36-45,Male,11154.0
798,26-35,Male,3277.0
799,26-35,Female,2139.0
800,46-55,Male,4446.0
801,26-35,Male,6735.0
802,26-35,Female,2780.0
803,18-25,Male,907.0
804,46-55,Female,7027.0
805,36-45,Male,5002.0
806,26-35,Male,1776.0
807,26-35,Male,4165.0
808,46-55,Male,14933.0
809,26-35,Male,2997.0
810,46-55,Male,8892.0
811,36-45,Male,3322.0
812,26-35,Male,3821.0
813,46-55,Male,5852.0
814,26-35,Male,2203.0
815,36-45,Male,7826.0
816,26-35,Male,4426.0
817,46-55,Male,10043.0
818,36-45,Female,24802.0
819,56-65,Female,2787.0
820,36-45,Male,19987.0
821,26-35,Male,4444.0
822,26-35,Male,3153.0
823,46-55,Male,10791.0
824,26-35,Female,3454.0
825,26-35,Male,3301.0
826,46-55,Male,21590.0
827,26-35,Male,8544.0
828,36-45,Male,14383.0
829,46-55,Male,9053.0
830,26-35,Female,9618.0
831,56-65,Male,10226.0
832,46-55,Male,13795.0
833,26-35,Male,3845.0
834,36-45,Male,8665.0
835,18-25,Male,1054.0
836,46-55,Male,3089.0
837,56-65,Male,2869.0
838,46-55,Male,1470.0
839,56-65,Male,8367.0
840,36-45,Male,7435.0
841,26-35,Male,3623.0
842,26-35,Male,6139.0
843,26-35,Male,6374.0
844,18-25,Male,2888.0
845,26-35,Male,4709.0
846,26-35,Male,2732.0
847,26-35,Male,4322.0
848,26-35,Male,5539.0
849,36-45,Female,5605.0
850,36-45,Male,6062.0
851,26-35,Male,1863.0
852,18-25,Male,1312.0
853,46-55,Male,11914.0
854,36-45,Female,4152.0
855,18-25,Male,5065.0
856,36-45,Male,3211.0
857,56-65,Male,4246.0
858,26-35,Male,15385.0
859,26-35,Male,2899.0
860,26-35,Male,4346.0
861,46-55,Female,5964.0
862,26-35,Male,7312.0
863,36-45,Male,3181.0
864,46-55,Female,10877.0
865,46-55,Female,23410.0
866,46-55,Male,5646.0
867,36-45,Male,2506.0
868,36-45,Male,5140.0
869,18-25,Male,3327.0
870,26-35,Male,11518.0
871,46-55,Female,8531.0
872,46-55,Male,7405.0
873,36-45,Female,3556.0
874,36-45,Male,8463.0
875,36-45,Male,6051.0
876,36-45,Male,10629.0
877,26-35,Male,2220.0
878,36-45,Male,3466.0
879,18-25,Male,1931.0
880,26-35,Female,3578.0
881,26-35,Male,3872.0
882,26-35,Male,2841.0
883,36-45,Male,8725.0
884,36-45,Male,14721.0
885,36-45,Female,3907.0
886,36-45,Female,6709.0
887,26-35,Male,1807.0
888,36-45,Female,3325.0
889,26-35,Female,3269.0
890,26-35,Female,4724.0
891,56-65,Male,6165.0
892,26-35,Male,2530.0
893,26-35,Female,7638.0
894,46-55,Male,3386.0
895,36-45,Male,6842.0
896,26-35,Male,5990.0
897,26-35,Female,3862.0
898,56-65,Female,8487.0
899,26-35,Male,2830.0
900,36-45,Male,2966.0
901,46-55,Male,3474.0
902,26-35,Female,9092.0
903,46-55,Male,10468.0
904,46-55,Female,9636.0
905,26-35,Female,2771.0
906,46-55,Male,3967.0
907,46-55,Male,14323.0
908,26-35,Male,6515.0
909,36-45,Female,6535.0
910,46-55,Male,7202.0
911,36-45,Male,22252.0
912,18-25,Female,1385.0
913,18-25,Male,3507.0
914,36-45,Female,6599.0
915,46-55,Male,22968.0
916,36-45,Male,6008.0
917,36-45,Male,9280.0
918,36-45,Male,6894.0
919,36-45,Male,5207.0
920,18-25,Male,2854.0
921,56-65,Female,1857.0
922,46-55,Female,6746.0
923,18-25,Female,2834.0
924,36-45,Female,1929.0
925,46-55,Female,5751.0
926,56-65,Male,2626.0
927,56-65,Male,5274.0
928,36-45,Male,5853.0
929,36-45,Female,10797.0
930,26-35,Male,5562.0
931,36-45,Male,3554.0
932,56-65,Male,10438.0
933,36-45,Female,15067.0
934,36-45,Male,5604.0
935,26-35,Male,4604.0
936,56-65,Female,12221.0
937,36-45,Male,5586.0
938,26-35,Male,3554.0
939,56-65,Male,7629.0
940,36-45,Female,8669.0
941,26-35,Male,3994.0
942,36-45,Male,5856.0
943,36-45,Male,7448.0
944,26-35,Female,4005.0
945,36-45,Male,5247.0
946,26-35,Male,7243.0
947,56-65,Female,3832.0
948,46-55,Female,8131.0
949,56-65,Male,13589.0
950,26-35,Male,4523.0
951,46-55,Female,4503.0
952,26-35,Male,5022.0
953,26-35,Male,6756.0
954,26-35,Male,7177.0
955,26-35,Male,3023.0
956,26-35,Female,5696.0
957,36-45,Female,8670.0
958,46-55,Male,17676.0
959,26-35,Male,3171.0
960,26-35,Male,3085.0
961,18-25,Male,3558.0
962,36-45,Male,14128.0
963,36-45,Male,6746.0
964,56-65,Male,15491.0
965,46-55,Male,4306.0
966,46-55,Female,29596.0
967,36-45,Male,4850.0
968,36-45,Female,11863.0
969,18-25,Male,803.0
970,26-35,Male,8171.0
971,26-35,Male,4576.0
972,36-45,Female,3561.0
973,26-35,Female,9552.0
974,36-45,Male,11231.0
975,36-45,Female,8102.0
976,36-45,Male,4777.0
977,26-35,Female,2359.0
978,18-25,Male,2867.0
979,18-25,Male,2849.0
980,26-35,Male,3467.0
981,36-45,Male,7245.0
982,36-45,Male,7254.0
983,26-35,Male,1573.0
984,26-35,Female,2848.0
985,46-55,Male,2065.0
986,46-55,Male,5942.0
987,56-65,Female,8460.0
988,36-45,Male,6283.0
989,36-45,Female,5326.0
990,26-35,Male,2850.0
991,36-45,Male,2466.0
992,26-35,Male,4194.0
993,26-35,Male,9099.0
994,36-45,Female,4419.0
995,18-25,Male,1851.0
996,26-35,Male,4407.0
997,46-55,Female,5689.0
998,46-55,Male,5893.0
999,46-55,Male,4708.0
