amfi_code,overall_rank,cagr_3y,sharpe,alpha_annualized,expense_ratio,max_drawdown,score_cagr3y,score_sharpe,score_alpha,score_expense,score_maxdd,fund_scorecard,fund_name,fund_house,category
100027,19,0.14205438757871303,0.44614275853867513,0.04041708564236714,0.83,-0.21913118886463678,17.94871794871795,64.1025641025641,71.7948717948718,51.28205128205128,84.61538461538461,51.92307692307692,UTI Flexi Cap Fund - Direct Growth,UTI,Flexi Cap
100003,20,0.2814223367346662,0.3582424765382969,0.01014762010602557,0.94,-0.3025454688491058,64.1025641025641,48.717948717948715,46.15384615384615,35.8974358974359,51.28205128205128,51.15384615384616,Axis Large Cap Fund - Direct Growth,Axis,Large Cap
100025,21,0.23517335045064613,0.46465386188495206,0.029758180297663313,1.12,-0.2914028852423284,43.58974358974359,71.7948717948718,61.53846153846154,10.256410256410255,61.53846153846154,51.02564102564103,Nippon India Flexi Cap Fund - Direct Growth,Nippon India,Flexi Cap
100004,22,0.27529066637096844,0.3647521184267889,0.010964462721127818,0.91,-0.33513972199274455,58.97435897435898,51.28205128205128,48.717948717948715,43.58974358974359,35.8974358974359,50.38461538461539,Kotak Large Cap Fund - Direct Growth,Kotak,Large Cap
100028,23,0.16706023555888816,0.3455933905730493,0.009200576081032278,0.59,-0.2134959233229844,25.64102564102564,43.58974358974359,43.58974358974359,88.46153846153845,87.17948717948718,49.294871794871796,Mirae Asset ELSS Fund - Direct Growth,Mirae Asset,ELSS
100008,24,0.2994030270728345,0.2882016607004078,-0.010135995142903557,0.78,-0.3595691973172044,71.7948717948718,33.33333333333333,28.205128205128204,61.53846153846154,25.64102564102564,47.3076923076923,Mirae Asset Large Cap Fund - Direct Growth,Mirae Asset,Large Cap
100033,25,0.18169381036355414,0.24202143587342556,0.014855058568103489,0.77,-0.21972980252445495,28.205128205128204,28.205128205128204,53.84615384615385,64.1025641025641,82.05128205128204,44.1025641025641,Canara Robeco Hybrid Aggressive Fund - Direct Growth,Canara Robeco,Hybrid Aggressive
100030,26,0.25832889505240053,0.32807646118207184,-0.007519634231273911,0.85,-0.2908266360783004,48.717948717948715,38.46153846153847,30.76923076923077,48.717948717948715,64.1025641025641,44.1025641025641,Franklin ELSS Fund - Direct Growth,Franklin,ELSS
100040,27,0.0781347724564434,-0.18195868440858945,0.052280046109096055,0.26,-0.025416780972021158,2.564102564102564,5.128205128205128,87.17948717948718,100.0,94.87179487179486,43.97435897435898,HDFC Debt - Short Duration Fund - Direct Growth,HDFC,Debt - Short Duration
100022,28,0.33777192420434154,0.29327037887022667,-0.006831582647274858,1.11,-0.36445800452953037,82.05128205128204,35.8974358974359,33.33333333333333,12.82051282051282,17.94871794871795,43.97435897435897,ICICI Pru Flexi Cap Fund - Direct Growth,ICICI Pru,Flexi Cap
100037,29,0.07150475771640785,-0.2338300032524326,0.04780192469500707,0.46,-0.027366165212119542,0.0,2.564102564102564,79.48717948717949,97.43589743589743,92.3076923076923,40.38461538461539,Invesco Debt - Short Duration Fund - Direct Growth,Invesco,Debt - Short Duration
100009,30,0.28914158729147044,0.34861261274628547,-0.022468679337226523,1.25,-0.37826170222952793,66.66666666666666,46.15384615384615,25.64102564102564,7.6923076923076925,15.384615384615385,39.35897435897435,Parag Parikh Mid Cap Fund - Direct Growth,Parag Parikh,Mid Cap
100001,31,0.3022703802838993,0.1110712168082018,-0.04524910538521796,0.95,-0.390511222951626,74.35897435897436,15.384615384615385,10.256410256410255,32.05128205128205,12.82051282051282,34.2948717948718,SBI Large Cap Fund - Direct Growth,SBI,Large Cap
100006,32,0.1474991795615781,0.15942511579378096,-0.032806919430988554,0.64,-0.31836621931373266,20.51282051282051,20.51282051282051,23.076923076923077,82.05128205128204,43.58974358974359,32.56410256410256,Aditya Birla SL Large Cap Fund - Direct Growth,Aditya Birla SL,Large Cap
100016,33,0.2678012487258967,0.24304475643466872,-0.04126414896642342,1.0,-0.3953116399332409,53.84615384615385,30.76923076923077,15.384615384615385,23.076923076923077,5.128205128205128,30.897435897435898,Edelweiss Small Cap Fund - Direct Growth,Edelweiss,Small Cap
100020,34,0.24201642755460395,0.11360115003403014,-0.08623185825893778,0.92,-0.39231974980902895,46.15384615384615,17.94871794871795,2.564102564102564,39.743589743589745,10.256410256410255,25.833333333333332,HDFC Small Cap Fund - Direct Growth,HDFC,Small Cap
100035,35,0.12367659910128159,-0.1241115037646203,-0.052029375009686074,0.75,-0.219776388581302,15.384615384615385,7.6923076923076925,5.128205128205128,66.66666666666666,79.48717948717949,25.51282051282051,Quant Hybrid Aggressive Fund - Direct Growth,Quant,Hybrid Aggressive
100023,36,0.21948848098498663,0.1723654306006855,-0.033025650519134316,1.05,-0.39449828454990155,35.8974358974359,23.076923076923077,20.51282051282051,20.51282051282051,7.6923076923076925,24.487179487179485,Axis Flexi Cap Fund - Direct Growth,Axis,Flexi Cap
100036,37,0.09067931419451858,-0.12332031750045706,-0.03986819502675213,0.81,-0.24993664498191637,7.6923076923076925,10.256410256410255,17.94871794871795,55.12820512820513,74.35897435897436,24.16666666666667,Edelweiss Hybrid Aggressive Fund - Direct Growth,Edelweiss,Hybrid Aggressive
100021,38,0.20764138521900488,0.18403680479065218,-0.04399727101706033,1.5,-0.4454303034535131,33.33333333333333,25.64102564102564,12.82051282051282,0.0,0.0,18.97435897435897,SBI Small Cap Fund - Direct Growth,SBI,Small Cap
100013,39,0.1888219046391053,0.09576192955332735,-0.046259904387824013,1.06,-0.3631654112881164,30.76923076923077,12.82051282051282,7.6923076923076925,16.666666666666664,20.51282051282051,18.525641025641022,Canara Robeco Mid Cap Fund - Direct Growth,Canara Robeco,Mid Cap
100026,40,0.0844319244819729,-0.26039850296384315,-0.10970759117938145,0.96,-0.3576693836039162,5.128205128205128,0.0,0.0,26.923076923076923,30.76923076923077,8.653846153846153,Aditya Birla SL Flexi Cap Fund - Direct Growth,Aditya Birla SL,Flexi Cap
