amfi_code,beta,alpha_annualized,r_squared,p_value,std_err,fund_name,category
100012,1.1574207358466857,0.011779205071620207,0.7461511918183997,0.0,0.018716591266073838,Tata Mid Cap Fund - Direct Growth,Mid Cap
100004,0.9410020540834325,0.010964462721127818,0.659590119804685,1.005337770145558e-306,0.01874199987838872,Kotak Large Cap Fund - Direct Growth,Large Cap
100003,0.9270879834728267,0.01014762010602557,0.6666792738594889,0.0,0.018174186754315747,Axis Large Cap Fund - Direct Growth,Large Cap
100028,0.9374302369891483,0.009200576081032278,0.6264890460277328,1.695849446991573e-280,0.02006759094704135,Mirae Asset ELSS Fund - Direct Growth,ELSS
100019,1.1948179707180628,0.005605617981660128,0.6934947842389909,0.0,0.022022186325698655,Sundaram Small Cap Fund - Direct Growth,Small Cap
100007,0.9432012823765458,0.003878543888961249,0.6666293086414437,0.0,0.018492142876472675,UTI Large Cap Fund - Direct Growth,Large Cap
100018,1.2963226267371102,-0.002256130039361015,0.8216760202788461,0.0,0.01674283590608865,PGIM Small Cap Fund - Direct Growth,Small Cap
100022,1.0053312239497465,-0.006831582647274858,0.6431662621905219,2.086630429726823e-293,0.020760693176245706,ICICI Pru Flexi Cap Fund - Direct Growth,Flexi Cap
100030,1.0507396433600402,-0.007519634231273911,0.7447784515247107,0.0,0.01705303125393321,Franklin ELSS Fund - Direct Growth,ELSS
100008,0.9965523575842627,-0.010135995142903557,0.709229618661995,0.0,0.01769062284016801,Mirae Asset Large Cap Fund - Direct Growth,Large Cap
100009,1.2457945121793967,-0.022468679337226523,0.8732441983264378,0.0,0.013159028691653064,Parag Parikh Mid Cap Fund - Direct Growth,Mid Cap
100006,0.9719445888377317,-0.032806919430988554,0.6885606514899353,0.0,0.018122516282787,Aditya Birla SL Large Cap Fund - Direct Growth,Large Cap
100023,1.0108574132212658,-0.033025650519134316,0.6494733283963643,1.9024489993988686e-298,0.020588804330049507,Axis Flexi Cap Fund - Direct Growth,Flexi Cap
100036,0.6553856843769048,-0.03986819502675213,0.5862400391233611,1.4299469182875008e-251,0.015264929233637899,Edelweiss Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive
100016,1.2376469133045702,-0.04126414896642342,0.7535654284003808,0.0,0.01962223391653844,Edelweiss Small Cap Fund - Direct Growth,Small Cap
100021,1.1513460323939142,-0.04399727101706033,0.6539453660539645,4.4707287150324775e-302,0.023220353213674865,SBI Small Cap Fund - Direct Growth,Small Cap
100001,0.996233517579172,-0.04524910538521796,0.7034114008962347,0.0,0.017934737547332064,SBI Large Cap Fund - Direct Growth,Large Cap
100013,0.9906835676238788,-0.046259904387824013,0.6093407089078743,8.256119736991263e-268,0.02199202868206383,Canara Robeco Mid Cap Fund - Direct Growth,Mid Cap
100035,0.7362303993172765,-0.052029375009686074,0.642775734416792,4.2519924662583215e-293,0.015216537367028953,Quant Hybrid Aggressive Fund - Direct Growth,Hybrid Aggressive
100020,1.3494937861424892,-0.08623185825893778,0.8378513602262869,0.0,0.016459074319482677,HDFC Small Cap Fund - Direct Growth,Small Cap
100026,0.9213325147535819,-0.10970759117938145,0.5963059441262888,1.562481232706255e-258,0.021016933881609745,Aditya Birla SL Flexi Cap Fund - Direct Growth,Flexi Cap
